Date,A,B,C
2015/1/30,0.0090590381635042,0.009528405254418601,0.009299055848866101
2015/10/1,0.0016190072663841999,0.0024463099355877,0.0028948373480289
2015/10/12,-0.0244450283865334,-0.024538028332253,-0.0238430971781473
2015/10/13,0.0042205697179139995,0.0048615515420889,0.005214807228968801
2015/10/14,0.0014704433423172996,0.0012264417787449002,0.0010506942249391
2015/10/15,0.006329287742334698,0.005948013601723898,0.006560775712195701
2015/10/16,0.008419910451468999,0.00905817968681,0.008061896391940401
2015/10/19,-0.010413404958155901,-0.010611156915524599,-0.0101492521984233
2015/10/2,-0.004009090448519301,-0.0037189446087744,-0.0031298765744133
2015/10/20,0.0047574439580791005,0.0048777836994333,0.004317541042103398
2015/10/21,-0.0121042826896156,-0.012813474975286699,-0.0114228524571048
2015/10/22,0.0193173843915984,0.019956124104219597,0.018226092792102203
2015/10/23,-0.0214855412989878,-0.0227977461770869,-0.0209252142184689
2015/10/26,-0.0261855785376841,-0.0269250166109539,-0.0251869547877826
2015/10/27,-0.0233946608965672,-0.0240460386233979,-0.0224351361040353
2015/10/28,-0.013063748772454701,-0.0149698299199702,-0.0146120829721882
2015/10/29,-0.0150695282472921,-0.0160019268250055,-0.0148567182898919
2015/10/30,0.022545571265917302,0.0227115310820838,0.0226803510521359
2015/10/5,0.010449962597034599,0.0121985109792979,0.0117920803552169
2015/10/6,0.0007829285540630997,0.000889549619576201,0.000993806408385001
2015/10/7,0.0205958546815573,0.021815988228121204,0.0212789183757759
2015/10/8,0.009697550659153401,0.0103233741765718,0.0096238022073379
2015/10/9,0.0035908643464698,0.0030393858623883,0.0034733122993307
2015/11/10,0.008887132056945201,0.010626671794859998,0.0100996302303973
2015/11/11,-0.003958759725360399,-0.0043967352932475,-0.0056337395354847004
2015/11/12,0.0189698690874308,0.020768883685654597,0.020180459867604902
2015/11/13,0.0033776722312567004,0.0019264964003607998,0.0017140395299077996
2015/11/16,0.0209214400930632,0.021405335337728898,0.0209568691459079
