Trade Date,NDX,TRAN,IXF
2003-01-22,0.0179893550593202,0.0019617459538989745,-0.010767883444130488
2003-01-23,0.011761498617439914,-0.014147442881278338,0.010447475905917436
2003-01-24,-0.04456484083298051,-0.01945961529221452,-0.020688865547264238
2003-01-27,-0.010907992143828428,-0.012585345137368977,-0.009231160249078664
2003-01-28,0.024938392293436085,0.013481882170004013,0.011723419647117428
2003-01-29,0.016363473785655502,0.007638758538516255,0.003468665375214286
2003-01-30,-0.036970419754051916,-0.02458916813127188,-0.019618148556181048
2003-01-31,0.011043891347598313,0.00985610256325109,0.014572465411657909
2003-02-03,0.0015260431307979605,-0.013081729978622005,-0.010130929820193812
2003-02-04,-0.03764184610449495,-0.014329870281348687,-0.013391230258329112
2003-02-05,0.007895751085926328,0.010793768859511887,5.202372281765122e-05
2003-02-06,-0.007007100114718057,0.032721221547672874,0.0060032253030224405
2003-02-07,-0.00951280690250933,-0.030947619009060845,-0.015197741281595125
2003-02-10,0.02396839240493032,0.0060412610610225395,0.010233925805350541
2003-02-11,-0.012355307446022423,0.0110880398671096,-0.01160639105169603
2003-02-12,-0.006099081501184545,-0.014309771224380709,-0.0033182408590615164
2003-02-13,-0.01886950249328334,-0.014859200120007075,0.005919907138711489
2003-02-14,0.046456122405489575,0.018991625074020742,0.013763296477351306
2003-02-18,0.033824787195047445,0.01324976132165534,0.00924067137151008
2003-02-19,-0.020771367226741774,-0.016378399193779702,-0.010888845597809782
2003-02-20,0.0053608247422680675,0.001357744977176667,0.0008811120670888518
2003-02-21,0.01967826487124591,0.016653495819989098,0.020040599043022574
2003-02-24,-0.024547461368653375,-0.035297871818159576,-0.020875427712739425
2003-02-25,0.007533468111000419,0.008006581681551772,0.00861738201652962
2003-02-26,-0.02774228327277095,-0.011973377535823393,-0.015987415693370588
2003-02-27,0.02777407000503129,0.012314348003815256,0.016936756208924875
2003-02-28,0.012347899058922307,0.008387313872297408,-0.0029641426076235647
2003-03-03,-0.02461168018631465,-0.004371511758866076,-0.004255911130804813
2003-03-04,-0.006414407122622423,-0.008077557963181879,-0.006100684580636172
2003-03-05,0.013369855202329806,0.006766402824825324,0.0036079092868521725
2003-03-06,-0.003516916367728773,-0.010723275717402279,-0.01609163204008901
2003-03-07,0.00042351944660112833,0.01549592034062175,0.008599191222603553
